drop_id,n_charges,measurement,fall_velocity,rise_velocity,radius,charge_const,q_est[C]
4,2,1,3.3376827871238956e-05,0.0001699942461729,5.281256406606258e-07,2.7567829886021986e-13,1.6195124696715268e-19
4,2,2,3.161783222945304e-05,0.0001599016763527,5.130373086341058e-07,2.740987905367339e-13,1.475897467714622e-19
4,2,3,3.543735646477048e-05,0.0001658760837056,5.453056796566551e-07,2.7738725123280705e-13,1.6621106424109683e-19
4,2,4,3.1641953369138284e-05,0.0001802246297901,5.13246999786975e-07,2.7412127183706346e-13,1.6334537723305058e-19
4,2,5,3.171786051877453e-05,0.0001515924154187,5.139063614771244e-07,2.741918634094716e-13,1.4153482785064097e-19
4,2,6,3.3537604489274006e-05,0.000171290841786,5.294848001102124e-07,2.758168811248277e-13,1.6358637835488623e-19
4,2,7,3.1392444529011034e-05,0.0001679175918442,5.1107409789918e-07,2.7388756709666686e-13,1.529269611908214e-19
4,2,8,3.681247527718047e-05,0.0001608420345536,5.564955838681346e-07,2.7845245133307546e-13,1.6696494089226166e-19
4,2,9,3.045817712816717e-05,0.0001817268869678,5.028605248935974e-07,2.729890206366481e-13,1.5983870380892333e-19
4,2,10,3.473341119341041e-05,0.0001769408681225,5.394937239637686e-07,2.7681934908749665e-13,1.7266656771839617e-19
5,7,1,5.225479733887107e-05,0.0005391880939459,6.701435651750451e-07,2.875230806851121e-13,1.7561053790935838e-19
5,7,2,5.121738797679103e-05,0.0004278142949034,6.63084874445793e-07,2.870381578461949e-13,1.4057708889735925e-19
5,7,3,5.588764443899304e-05,0.0005338272956545,6.943271047493805e-07,2.8911928379761746e-13,1.8208704689700796e-19
5,7,4,6.0008389396019754e-05,0.0005049640876118,7.208281753801947e-07,2.907607060645802e-13,1.8179040261882448e-19
5,7,5,5.46688271075021e-05,0.0004499178329154,6.86303356446662e-07,2.886005426130588e-13,1.5381714501442785e-19
5,7,6,5.046506362288124e-05,0.0005100617723116,6.579212646894405e-07,2.8667772017858923e-13,1.6307512663093936e-19
5,7,7,4.621994561134791e-05,0.0005222867085468,6.280367228262295e-07,2.8449155584437996e-13,1.5708025865324865e-19
5,7,8,6.069156232886638e-05,0.0005082107290291,7.251330136110191e-07,2.9101740739565613e-13,1.842564794672167e-19
5,7,9,5.261488432612325e-05,0.0004729730672726,6.72577296209269e-07,2.876882261569059e-13,1.5668367865033977e-19
5,7,10,4.988672439034359e-05,0.0004907771763206,6.539256738805489e-07,2.863954355661372e-13,1.56238449293537e-19
6,6,1,2.886162733655003e-05,0.0006912725743718,4.88528963046078e-07,2.7136144095854613e-13,1.749728764033815e-19
6,6,2,2.606083770355556e-05,0.0006526441822613,4.6240001814452444e-07,2.681818480908033e-13,1.5486503538555047e-19
6,6,3,2.596426389087961e-05,0.000659955160585,4.6147476981813536e-07,2.680638638443809e-13,1.5615220880824104e-19
6,6,4,2.806977494362791e-05,0.000664402689356,4.812745753065529e-07,2.7050716432868056e-13,1.6540532819794462e-19
6,6,5,2.460306542317499e-05,0.0006402351602542,4.4824685411191574e-07,2.663338260035971e-13,1.4638132370253552e-19
6,6,6,2.3131935043118643e-05,0.0006355392227082,4.335350146676425e-07,2.643096386224566e-13,1.3955210099794205e-19
6,6,7,2.6078094297099395e-05,0.0006469829702486,4.6256516951614174e-07,2.6820286701823786e-13,1.5364009230688405e-19
6,6,8,2.8737566962168937e-05,0.0007380775198067,4.873990068893547e-07,2.712297569600464e-13,1.8582396878360332e-19
6,6,9,2.1313727941988477e-05,0.0006610818648162,4.1469451716136787e-07,2.615496617370688e-13,1.3733107971887155e-19
6,6,10,2.677677788331597e-05,0.0006280259166465,4.6920678759340857e-07,2.690381037703932e-13,1.5193301593763105e-19
7,8,1,2.6606670204178087e-05,0.0009733284926993,4.6759776971845497e-07,2.6883754004592373e-13,1.7332732309988561e-19
7,8,2,2.310280978312325e-05,0.0010356280020293,4.3323913093974526e-07,2.642677905560803e-13,1.6810173671249108e-19
7,8,3,2.581973372163657e-05,0.0008691485057033,4.6008686384805864e-07,2.6788615685321827e-13,1.5228032244428368e-19
7,8,4,2.7444466526034892e-05,0.001006535224249,4.754737561960543e-07,2.698086522344282e-13,1.8268601004229704e-19
7,8,5,2.275296160233978e-05,0.0009617159584689,4.2967044263500273e-07,2.637594000211121e-13,1.5482423261359907e-19
7,8,6,2.708081936574766e-05,0.0008496496315193,4.720700583255156e-07,2.693922363535524e-13,1.5363567740901832e-19
7,8,7,2.625649020495717e-05,0.0008250738617215,4.642693059165283e-07,2.684190395677798e-13,1.4636585848650776e-19
7,8,8,2.8795661070729548e-05,0.000885182822076,4.879284360173103e-07,2.7129151879106885e-13,1.6632047943841072e-19
7,8,9,2.2232223895969313e-05,0.0009873328267485,4.2430772931952146e-07,2.6298251680505735e-13,1.5648137433661696e-19
7,8,10,2.4053968731858655e-05,0.0009119898509814,4.4280816521371975e-07,2.6559821852676113e-13,1.5241395119927775e-19
8,10,1,3.0244097902083383e-05,0.0008258987189396,5.009608826501598e-07,2.7277772492911326e-13,1.2843264826177272e-19
8,10,2,3.174852731917458e-05,0.0010133574776223,5.14172523663866e-07,2.7422031612985457e-13,1.6148112366199285e-19
8,10,3,3.439072145140365e-05,0.0007492756962709,5.366431754661423e-07,2.765370411821595e-13,1.2708818913183273e-19
8,10,4,2.9719813071712058e-05,0.0010017888709842,4.962801783040503e-07,2.722513787577776e-13,1.5309676470929522e-19
8,10,5,3.128501487510935e-05,0.0008852465114182,5.101358785066645e-07,2.7378614569020694e-13,1.4035473189639943e-19
8,10,6,2.9928451731815432e-05,0.0010086614228585,4.98147740581228e-07,2.724623689777512e-13,1.5480776397991583e-19
