video,track_id,vf_mm_s,vr_mm_s,radius_um,charge_C,n,e_calc,error_pct
trial3.mov,1050,0.12844464912583334,0.23731087859261485,1.0604216556950434,1.87908130970899e-18,12,1.5659010914241583e-19,-2.2533650796405547
trial3.mov,1393,0.05400323891315486,0.9210236150063907,0.6740292868570728,3.0596235659141245e-18,19,1.6103281925863814e-19,0.5198622088877286
trial3.mov,1421,0.16684986167120883,0.24371553904396728,1.2140617701027963,2.4367657080330776e-18,15,1.6245104720220516e-19,1.40514806629536
trial3.mov,1586,0.17360709392057586,0.19478028208522097,1.239187178661794,2.234513240588434e-18,14,1.596080886134596e-19,-0.36948276313383716
trial3.mov,1591,0.11109540241320567,0.36246248469481124,0.9834843732582867,2.2439558375968176e-18,14,1.6028255982834412e-19,0.051535473373361444
trial3.mov,1619,0.19317941142338685,0.303849745165957,1.3093262437660966,3.195947028516998e-18,20,1.597973514258499e-19,-0.2513411823658592
trial3.mov,1701,0.13160647778756837,0.18747349157228127,1.0738710448706297,1.6615507070293784e-18,10,1.6615507070293783e-19,3.7172725985879085
trial3.mov,1778,0.1417301010913814,0.14591984723823803,1.1158818589788133,1.560600643874068e-18,10,1.560600643874068e-19,-2.5842294710319598
trial3.mov,1976,0.12549511540006397,0.2589804309361887,1.0477254504496079,1.9499312868402003e-18,12,1.6249427390335002e-19,1.4321310258114985
trial3.mov,2005,0.11536830250601923,0.18229957056023796,1.002959725511636,1.4405584033359415e-18,9,1.6006204481510462e-19,-0.08611434762508141
trial3.mov,2019,0.11349998240933583,0.25746530366851006,0.9944892420677085,1.7789865809329554e-18,11,1.6172605281208684e-19,0.952592267220251
trial3.mov,2097,0.10821803525566014,0.30593658541360413,0.970158252419657,1.933862266313963e-18,12,1.611551888594969e-19,0.5962477275261586
trial3.mov,2243,0.19251505462176216,0.29781050876885423,1.3070053254139773,3.1469282204311042e-18,20,1.573464110215552e-19,-1.7812665283675355
trial3.mov,2260,0.08602044555330945,0.1540958581707832,0.8607536647789671,9.851254286849191e-19,6,1.6418757144748653e-19,2.4891207537369118
trial3.mov,2312,0.13073809280698515,0.11501005356665814,1.0701934406911315,1.2749991242128965e-18,8,1.5937489052661206e-19,-0.5150496088563888
trial3.mov,2380,0.10950215566323096,0.18950694396299972,0.9761270593832594,1.405451033568222e-18,9,1.5616122595202468e-19,-2.5210824269508874
trial3.mov,2464,0.13643904108871602,0.13179954559021204,1.094119183973955,1.4249886949354107e-18,9,1.5833207721504564e-19,-1.1659942477867387
trial3.mov,2550,0.13295736988021817,0.24831057974302367,1.0795680598318378,1.9966543606279177e-18,12,1.663878633856598e-19,3.86258638305856
trial3.mov,2844,0.22687268249953652,0.21720931546820096,1.4222114822991745,3.1160787919226615e-18,19,1.6400414694329798e-19,2.374623560111102
trial3.mov,2962,0.07948876042664771,0.1862683048407459,0.8259344860188469,1.042439408789778e-18,7,1.4891991554139686e-19,-7.041251222598715
trial3.mov,3098,0.12368893983177406,0.20517612838161625,1.0398771496543895,1.6545043380610551e-18,10,1.6545043380610552e-19,3.2774243483804746
trial3.mov,3108,0.12806818082069582,0.1891272499484764,1.058809319562954,1.6269487570539721e-18,10,1.6269487570539722e-19,1.5573506275887798
trial3.mov,3120,0.11851652474903564,0.08582119836419835,1.0170794863644173,1.0038509938048401e-18,6,1.6730849896747336e-19,4.437265273079501
trial3.mov,3163,0.16664310361980555,0.3388409773602726,1.2132850428624946,2.9980826098154037e-18,19,1.5779382156923177e-19,-1.5019840391811652
trial3.mov,3202,0.13892480071771177,0.2755292224622963,1.1043948929944387,2.223845813259302e-18,14,1.5884612951852157e-19,-0.8451126600988966
trial3.mov,3252,0.12304541596943201,0.2734167169231146,1.0370670600727299,1.988802793372668e-18,12,1.65733566114389e-19,3.454161120093006
trial3.mov,3346,0.12674489900314176,0.29469517271713075,1.0531231136312678,2.149204285856374e-18,13,1.6532340660433645e-19,3.1981314633810562
trial3.mov,3370,0.14748069060432625,0.32169993314179046,1.1390793679368187,2.601967028363704e-18,16,1.626229392727315e-19,1.5124464873480112
trial3.mov,3380,0.11248409494336897,0.3229987260013495,0.9898542426150287,2.0779188473239535e-18,13,1.5983991133261182e-19,-0.2247744490562904
trial3.mov,3395,0.09368036278116018,0.0937367457861423,0.8999462073670734,8.069474419271673e-19,5,1.6138948838543347e-19,0.7425021132543513
trial3.mov,3404,0.13018992470297278,0.28687433008252167,1.0678656699128186,2.1587899861751944e-18,13,1.6606076816732266e-19,3.6584070957070303
trial3.mov,3424,0.1557500360375996,0.14997879325782434,1.1716594135489606,1.7472189143956247e-18,11,1.5883808312687498e-19,-0.8501353764825353
trial3.mov,3440,0.11068652315914665,0.18449597141201596,0.9816012975589373,1.3958416430591148e-18,9,1.550935158954572e-19,-3.1875681052077423
trial3.mov,3453,0.08248833629180229,0.1874734915722813,0.8420952460601162,1.081504644744466e-18,7,1.5450066353492373e-19,-3.5576382428690816
trial4.mov,26,0.1648785425101217,0.042236842105263406,1.2066364403010907,1.221272159621271e-18,8,1.5265901995265888e-19,-4.707228493970738
trial4.mov,65,0.0979959458236666,0.19824037933830266,0.9213241016872751,1.3082851936519387e-18,8,1.6353564920649234e-19,2.0821780315183154
trial4.mov,71,0.10107954545454445,0.05824801446182694,0.9363126273622265,7.160200647963979e-19,4,1.7900501619909947e-19,11.738462046878574
trial4.mov,86,0.06206570638733799,0.14810624927766344,0.7253505338479594,7.151576594826991e-19,4,1.7878941487067477e-19,11.603879444865653
trial4.mov,88,0.07822847177780835,0.19761352350062827,0.8190538031276787,1.0721801425558663e-18,7,1.5316859179369518e-19,-4.389143699316364
trial4.mov,106,0.0798835341988755,0.547755998010708,0.8280785848942809,2.4688949204563775e-18,15,1.6459299469709184e-19,2.742193943253334
trial4.mov,125,0.07470887308610172,0.08131824922482156,0.7995397393146844,5.90721805449932e-19,4,1.47680451362483e-19,-7.814949211933209
trial4.mov,251,0.17708333333333007,0.29432553143778,1.251922607002395,2.8905962107586182e-18,18,1.605886783754788e-19,0.24262070878826547
trial4.mov,267,0.13068785975985922,0.4795568181818455,1.0699803314443213,3.165417979519852e-18,20,1.5827089897599259e-19,-1.2041829113654252
trial4.mov,303,0.0993209336201016,0.3738299946263432,0.9277929307371962,2.1054600582081426e-18,13,1.6195846601601097e-19,1.0976691735399298
trial4.mov,343,0.0653021480331262,0.31601825842697917,0.7450093175264194,1.3362343127630797e-18,8,1.6702928909538496e-19,4.2629769634113375
trial4.mov,373,0.04801410913273102,0.08478519605729999,0.6333802825760004,3.8891569735387183e-19,2,1.9445784867693592e-19,21.38442489196999
trial4.mov,389,0.09375000000000501,0.08854166666667139,0.900295022077244,7.85208536229575e-19,5,1.57041707245915e-19,-1.9714686355087416
trial4.mov,403,0.05947034041545754,0.24947578358410938,0.709213406308122,1.0255292754496901e-18,6,1.709215459082817e-19,6.692600442123407
